scientific_name,iucn_class,iucn_category,iucn_score,lastwatch_score,lastwatch_tier
Panthera tigris,MAMMALIA,EN,3,54.0,T2
Ailuropoda melanoleuca,MAMMALIA,VU,2,0.4,T0
Ursus maritimus,MAMMALIA,VU,2,14.5,T0
Rhinoceros sondaicus,MAMMALIA,CR,4,78.0,T3
Gorilla beringei graueri,MAMMALIA,CR,4,48.7,T2
Phocoena sinus,MAMMALIA,CR,4,100.0,T4
Grus japonensis,AVES,VU,2,54.8,T2
Raphus cucullatus,AVES,EX,5,100.0,EX
Thylacinus cynocephalus,MAMMALIA,EX,5,100.0,EX
Ectopistes migratorius,AVES,EX,5,100.0,EX
Lipotes vexillifer,MAMMALIA,CR,4,100.0,EX
Atelopus oxyrhynchus,AMPHIBIA,CR,4,90.6,T4
Antilophia bokermanni,AVES,CR,4,67.7,T3
Pseudobulweria aterrima,AVES,CR,4,78.5,T3
Dobsonia chapmani,MAMMALIA,CR,4,90.0,T4
Acinonyx jubatus venaticus,MAMMALIA,VU,2,45.0,T2
Gymnobelideus leadbeateri,MAMMALIA,CR,4,50.6,T2
Eutrichomyias rowleyi,AVES,CR,4,84.3,T4
Acipenser sturio,ACTINOPTERYGII,CR,4,90.0,T4
Bunolagus monticularis,MAMMALIA,CR,4,77.3,T3
Holoaden bradei,AMPHIBIA,CR,4,90.0,T4
Santamartamys rufodorsalis,MAMMALIA,CR,4,90.0,T4
Crocodylus intermedius,REPTILIA,CR,4,76.9,T3
Mammillaria marcosii,MAGNOLIOPSIDA,CR,4,79.0,T3
Mammillaria pennispinosa,MAGNOLIOPSIDA,CR,4,50.9,T2
Cuora yunnanensis,REPTILIA,CR,4,90.3,T4
Rhinopithecus brelichi,MAMMALIA,CR,4,76.1,T3
Plectrohyla pachyderma,,CR,4,90.6,T4
Radula visianica,JUNGERMANNIOPSIDA,CR,4,90.0,T4
Nomascus concolor,MAMMALIA,CR,4,50.8,T2
Lepidochelys kempii,REPTILIA,CR,4,15.1,T0
Weberocereus frohningiorum,MAGNOLIOPSIDA,CR,4,90.0,T4
Crocodylus mindorensis,REPTILIA,CR,4,81.1,T4
Aphrastura masafuerae,AVES,CR,4,70.0,T3
Sarothrura ayresi,AVES,CR,4,79.0,T3
Anthochaera phrygia,AVES,CR,4,67.6,T3
Mecistops cataphractus,REPTILIA,CR,4,40.5,T2
Otus insularis,AVES,CR,4,74.5,T3
Vanellus gregarius,AVES,CR,4,93.2,T4
Auerodendron pauciflorum,MAGNOLIOPSIDA,CR,4,90.0,T4
Rhizanthella gardneri,LILIOPSIDA,CR,4,93.6,T4
Turbinicarpus laui,MAGNOLIOPSIDA,CR,4,44.9,T2
Cyornis banyumas,AVES,CR,4,67.3,T3
Microcycas calocoma,CYCADOPSIDA,CR,4,79.4,T3
Didunculus strigirostris,AVES,CR,4,82.1,T4
Byblis gigantea,MAGNOLIOPSIDA,CR,4,17.3,T0
Pharotis imogene,MAMMALIA,CR,4,90.0,T4
Tahina spectabilis,LILIOPSIDA,CR,4,90.0,T4
Mammillaria albiflora,MAGNOLIOPSIDA,CR,4,45.0,T2
Pteropus aruensis,MAMMALIA,CR,4,90.0,T4
Phoboscincus bocourti,REPTILIA,CR,4,84.6,T4
Pristimantis xylochobates,AMPHIBIA,CR,4,90.0,T4
Turbinicarpus swobodae,MAGNOLIOPSIDA,CR,4,50.5,T2
Plecotus teneriffae,MAMMALIA,CR,4,50.6,T2
Adansonia perrieri,MAGNOLIOPSIDA,CR,4,75.9,T3
Mellissia begoniifolia,,CR,4,94.8,T4
Abies beshanzuensis,PINOPSIDA,CR,4,94.6,T4
Wikstroemia villosa,MAGNOLIOPSIDA,CR,4,90.0,T4
Haptanthus hazlettii,MAGNOLIOPSIDA,CR,4,77.3,T3
Nepenthes attenboroughii,MAGNOLIOPSIDA,CR,4,60.0,T3
Mexipedium xerophyticum,LILIOPSIDA,CR,4,90.0,T4
Uromys porculus,MAMMALIA,CR,4,90.0,T4
Phalanger matanim,MAMMALIA,CR,4,90.0,T4
Murina tenebrosa,MAMMALIA,CR,4,90.0,T4
Diceros bicornis,MAMMALIA,CR,4,10.4,T0
Craugastor tabasarae,AMPHIBIA,CR,4,74.1,T3
Turbinicarpus mandragora,MAGNOLIOPSIDA,CR,4,44.9,T2
Uromys imperator,MAMMALIA,CR,4,90.0,T4
Calyptura cristata,AVES,CR,4,90.0,T4
Nepenthes aristolochioides,MAGNOLIOPSIDA,CR,4,84.4,T4
Tylomys bullaris,MAMMALIA,CR,4,90.0,T4
Turbinicarpus alonsoi,MAGNOLIOPSIDA,CR,4,44.6,T2
Potorous gilbertii,MAMMALIA,CR,4,90.0,T4
Turbinicarpus hoferi,MAGNOLIOPSIDA,CR,4,51.7,T2
Necrosyrtes monachus,AVES,CR,4,40.3,T2
Mammillaria schwarzii,MAGNOLIOPSIDA,CR,4,51.2,T2
Equus africanus,MAMMALIA,CR,4,81.4,T4
Bostrychia bocagei,AVES,CR,4,51.0,T2
Pseudoryx nghetinhensis,MAMMALIA,CR,4,77.6,T3
Crocodylus siamensis,REPTILIA,CR,4,51.1,T2
Eubalaena glacialis,MAMMALIA,CR,4,90.0,T4
Mammillaria anniana,MAGNOLIOPSIDA,CR,4,67.1,T3
Opuntia chaffeyi,MAGNOLIOPSIDA,CR,4,92.5,T4
Alligator sinensis,REPTILIA,CR,4,78.0,T3
Crocodylus rhombifer,REPTILIA,CR,4,50.4,T2
Axis kuhlii,MAMMALIA,CR,4,60.0,T3
Turbinicarpus gielsdorfianus,MAGNOLIOPSIDA,CR,4,44.7,T2
Mammillaria sanchez-mejoradae,MAGNOLIOPSIDA,CR,4,67.4,T3
Heteromirafra archeri,AVES,CR,4,78.9,T3
Ostrya rehderiana,MAGNOLIOPSIDA,CR,4,94.3,T4
Dendrolagus scottae,MAMMALIA,CR,4,70.0,T3
Wollemia nobilis,PINOPSIDA,CR,4,90.0,T4
Addax nasomaculatus,MAMMALIA,CR,4,84.2,T4
Panthera tigris amoyensis,MAMMALIA,EN,3,49.8,T2
Bos javanicus,MAMMALIA,CR,4,50.2,T2
Terenura sicki,AVES,CR,4,78.6,T3
Abies yuanbaoshanensis,PINOPSIDA,CR,4,67.1,T3
Pithecophaga jefferyi,AVES,CR,4,66.8,T3
Spheniscus demersus,AVES,CR,4,40.6,T2
Dendrolagus pulcherrimus,MAMMALIA,CR,4,30.5,T1
Dryococelus australis,INSECTA,CR,4,90.0,T4
Panthera tigris sumatrae,MAMMALIA,EN,3,50.4,T2
Pipile pipile,AVES,CR,4,70.0,T3
Aegotheles savesi,AVES,CR,4,90.0,T4
Lepilemur septentrionalis,MAMMALIA,CR,4,90.0,T4
Gymnogyps californianus,AVES,CR,4,78.0,T3
Mammillaria theresae,MAGNOLIOPSIDA,CR,4,75.9,T3
Gyps indicus,AVES,CR,4,40.2,T2
Arthroleptides dutoiti,AMPHIBIA,CR,4,74.8,T3
Batagur trivittata,REPTILIA,CR,4,93.4,T4
Batagur kachuga,REPTILIA,CR,4,67.2,T3
Hadramphus tuberculatus,INSECTA,CR,4,70.0,T3
Gorilla beringei,MAMMALIA,CR,4,50.4,T2
Litoria lorica,AMPHIBIA,CR,4,30.2,T1
Dipodomys gravipes,MAMMALIA,CR,4,90.0,T4
Cyclura pinguis,REPTILIA,CR,4,60.0,T3
Actinella obserata,GASTROPODA,CR,4,90.0,T4
Eleutherodactylus jasperi,AMPHIBIA,CR,4,90.0,T4
Gopherus flavomarginatus,REPTILIA,CR,4,50.6,T2
Anas laysanensis,AVES,CR,4,20.0,T1
Turbinicarpus horripilus,MAGNOLIOPSIDA,EN,3,50.7,T2
Opuntia pachyrrhiza,MAGNOLIOPSIDA,EN,3,40.2,T2
Xenicus gilviventris,AVES,EN,3,44.9,T2
Mammillaria microhelia,MAGNOLIOPSIDA,EN,3,67.3,T3
Spongiforma squarepantsii,AGARICOMYCETES,EN,3,67.4,T3
Amentotaxus formosana,PINOPSIDA,EN,3,67.5,T3
Cynometra beddomei,MAGNOLIOPSIDA,EN,3,76.2,T3
Aloe helenae,LILIOPSIDA,EN,3,68.3,T3
Aloe suzannae,LILIOPSIDA,EN,3,67.3,T3
Xanthocyparis vietnamensis,PINOPSIDA,EN,3,51.7,T2
Melocactus matanzanus,MAGNOLIOPSIDA,EN,3,70.0,T3
Melocactus lanssensianus,MAGNOLIOPSIDA,EN,3,50.4,T2
Scilla morrisii,LILIOPSIDA,EN,3,17.4,T0
Micranthocereus polyanthus,MAGNOLIOPSIDA,EN,3,50.7,T2
Nepenthes adnata,MAGNOLIOPSIDA,EN,3,70.0,T3
Synapsis ilicifolia,MAGNOLIOPSIDA,CR,4,94.8,T4
Anthemis glaberrima,MAGNOLIOPSIDA,EN,3,40.2,T2
Ariocarpus scaphirostris,MAGNOLIOPSIDA,EN,3,40.4,T2
Obregonia denegrii,MAGNOLIOPSIDA,EN,3,44.9,T2
Abies ziyuanensis,PINOPSIDA,EN,3,51.6,T2
Oreophasis derbianus,AVES,EN,3,51.1,T2
Gomortega keule,MAGNOLIOPSIDA,EN,3,51.0,T2
Aloe cremnophila,LILIOPSIDA,EN,3,70.0,T3
Sauromalus hispidus,REPTILIA,EN,3,50.3,T2
Goetzea elegans,MAGNOLIOPSIDA,EN,3,22.6,T1
Accipiter gundlachi,AVES,EN,3,51.5,T2
Puya raimondii,LILIOPSIDA,EN,3,40.2,T2
Echinocactus grusonii,MAGNOLIOPSIDA,EN,3,40.4,T2
Nepenthes chaniana,MAGNOLIOPSIDA,EN,3,22.1,T1
Mammillaria mathildae,MAGNOLIOPSIDA,EN,3,67.3,T3
Dioon purpusii,CYCADOPSIDA,EN,3,50.5,T2
Garrulax rufifrons,AVES,EN,3,50.3,T2
Achyranthes mutica,MAGNOLIOPSIDA,EN,3,79.8,T3
Cuon alpinus,MAMMALIA,EN,3,50.6,T2
Echium pininana,MAGNOLIOPSIDA,EN,3,15.3,T0
Cycas circinalis,CYCADOPSIDA,EN,3,44.9,T2
Rhyticeros everetti,AVES,EN,3,50.6,T2
Procellaria westlandica,AVES,EN,3,15.2,T0
Aratinga solstitialis,AVES,EN,3,51.0,T2
Elaeocarpus recurvatus,MAGNOLIOPSIDA,EN,3,45.2,T2
Pavo muticus,AVES,EN,3,40.6,T2
Diomedea amsterdamensis,AVES,EN,3,78.0,T3
Taphrolesbia griseiventris,AVES,EN,3,67.0,T3
Oxyura maccoa,AVES,EN,3,44.8,T2
Oxyura leucocephala,AVES,VU,2,50.8,T2
Pterodroma cahow,AVES,EN,3,70.0,T3
Penelopides mindorensis,AVES,EN,3,66.9,T3
Copsychus sechellarum,AVES,EN,3,70.0,T3
Acer griseum,MAGNOLIOPSIDA,EN,3,75.1,T3
Taoniscus nanus,AVES,EN,3,44.8,T2
Ctenosaura oedirhina,REPTILIA,EN,3,44.7,T2
Ctenosaura melanosterna,REPTILIA,EN,3,44.8,T2
Ctenosaura palearis,REPTILIA,EN,3,50.4,T2
Melicope pallida,MAGNOLIOPSIDA,CR,4,73.4,T3
Amazona vinacea,AVES,EN,3,50.2,T2
Anas bernieri,AVES,EN,3,51.0,T2
Juniperus gracilior,PINOPSIDA,EN,3,51.3,T2
Phalacrocorax featherstoni,AVES,EN,3,50.8,T2
Conolophus pallidus,REPTILIA,VU,2,18.4,T0
Procellaria aequinoctialis,AVES,VU,2,39.7,T1
Procellaria conspicillata,AVES,VU,2,3.6,T0
Tyto aurantia,AVES,VU,2,44.9,T2
Aloe ukambensis,LILIOPSIDA,VU,2,18.3,T0
Gallotia simonyi,REPTILIA,VU,2,60.0,T3
Telespiza cantans,AVES,VU,2,13.5,T0
Procellaria parkinsoni,AVES,VU,2,13.5,T0
Geothlypis beldingi,AVES,VU,2,50.7,T2
Accipiter butleri,AVES,VU,2,51.0,T2
Accipiter luteoschistaceus,AVES,VU,2,50.7,T2
Accipiter henstii,AVES,VU,2,51.5,T2
Accipiter brachyurus,AVES,VU,2,45.0,T2
Parasitaxus usta,PINOPSIDA,VU,2,40.3,T2
Pterospermum reticulatum,MAGNOLIOPSIDA,LC,0,10.5,T0
Accipiter princeps,AVES,VU,2,44.7,T2
Psittrichas fulgidus,AVES,VU,2,39.9,T1
Sternula nereis,AVES,VU,2,44.8,T2
Astrophytum asterias,MAGNOLIOPSIDA,VU,2,44.8,T2
Cycas armstrongii,CYCADOPSIDA,VU,2,39.8,T1
Echium gentianoides,MAGNOLIOPSIDA,VU,2,3.6,T0
Beccariophoenix alfredii,LILIOPSIDA,VU,2,17.4,T0
Nepenthes campanulata,MAGNOLIOPSIDA,VU,2,13.6,T0
Lophophora diffusa,MAGNOLIOPSIDA,VU,2,49.9,T2
Chondrostoma scodrense,ACTINOPTERYGII,EX,5,100.0,EX
Brotomys voratus,MAMMALIA,EX,5,100.0,EX
Achyranthes atollensis,MAGNOLIOPSIDA,EX,5,100.0,EX
Notomys mordax,MAMMALIA,EX,5,100.0,EX
Cyprinodon ceciliae,ACTINOPTERYGII,EX,5,100.0,EX
Boromys torrei,MAMMALIA,EX,5,100.0,EX
Boromys offella,MAMMALIA,EX,5,100.0,EX
Isolobodon montanus,MAMMALIA,EX,5,100.0,EX
Flabellidium spinosum,BRYOPSIDA,EX,5,100.0,EX
Coua delalandei,AVES,EX,5,100.0,EX
Cyprinodon inmemoriam,ACTINOPTERYGII,EX,5,100.0,EX
Gambusia amistadensis,ACTINOPTERYGII,EX,5,100.0,EX
Litoria nyakalensis,AMPHIBIA,EX,5,100.0,EX
Pteropus pilosus,MAMMALIA,EX,5,100.0,EX
Leiolopisma mauritiana,REPTILIA,EX,5,100.0,EX
Argyroxiphium virescens,MAGNOLIOPSIDA,EX,5,100.0,EX
Elimia gibbera,GASTROPODA,EX,5,100.0,EX
Achatinella papyracea,GASTROPODA,EX,5,100.0,EX
Leptoxis vittata,GASTROPODA,EX,5,100.0,EX
Melicope obovata,MAGNOLIOPSIDA,EX,5,100.0,EX
Scelotes guentheri,REPTILIA,EX,5,100.0,EX
Pradosia glaziovii,MAGNOLIOPSIDA,EX,5,100.0,EX
Turdus ravidus,AVES,EX,5,100.0,EX
Alburnus akili,ACTINOPTERYGII,EX,5,100.0,EX
Ctenochromis pectoralis,ACTINOPTERYGII,EX,5,100.0,EX
Blutaparon rigidum,MAGNOLIOPSIDA,EX,5,100.0,EX
Lophopsittacus mauritianus,AVES,EX,5,100.0,EX
Kokia lanceolata,MAGNOLIOPSIDA,EX,5,100.0,EX
Chilonopsis blofeldi,GASTROPODA,EX,5,100.0,EX
Porphyrio caerulescens,AVES,EX,5,100.0,EX
Lagorchestes asomatus,MAMMALIA,EX,5,100.0,EX
Lepidochrysops hypopolia,INSECTA,EX,5,100.0,EX
Myrcia neocambessedeana,MAGNOLIOPSIDA,EX,5,100.0,EX
Streblorrhiza speciosa,MAGNOLIOPSIDA,EX,5,100.0,EX
Myrcia skeldingii,MAGNOLIOPSIDA,EX,5,100.0,EX
Campomanesia lundiana,MAGNOLIOPSIDA,EX,5,100.0,EX
Roystonea stellata,LILIOPSIDA,EX,5,100.0,EX
Cylindraspis inepta,REPTILIA,EX,5,100.0,EX
Geocapromys thoracatus,MAMMALIA,EX,5,100.0,EX
Achatinella casta,GASTROPODA,EX,5,100.0,EX
Drosophila lanaiensis,INSECTA,EX,5,100.0,EX
Cyprinus yilongensis,ACTINOPTERYGII,EX,5,100.0,EX
Myadestes woahensis,AVES,EX,5,100.0,EX
Heteropsomys insulans,MAMMALIA,EX,5,100.0,EX
Cryptonanus ignitus,MAMMALIA,EX,5,100.0,EX
Vanvoorstia bennettiana,FLORIDEOPHYCEAE,EX,5,100.0,EX
Hibiscadelphus crucibracteatus,MAGNOLIOPSIDA,EX,5,100.0,EX
Perameles eremiana,MAMMALIA,EX,5,100.0,EX
Barbus microbarbis,ACTINOPTERYGII,EX,5,100.0,EX
Chasmistes muriei,ACTINOPTERYGII,EX,5,100.0,EX
Chlorostilbon elegans,,EX,5,100.0,EX
Alasmidonta wrightiana,BIVALVIA,EX,5,100.0,EX
Alasmidonta robusta,BIVALVIA,EX,5,100.0,EX
Chlorostilbon bracei,,EX,5,100.0,EX
Argocoffeopsis lemblinii,MAGNOLIOPSIDA,EX,5,100.0,EX
Tetradactylus eastwoodae,REPTILIA,EX,5,100.0,EX
Juscelinomys candango,MAMMALIA,EX,5,100.0,EX
Coregonus johannae,ACTINOPTERYGII,EX,5,100.0,EX
Hibiscadelphus bombycinus,MAGNOLIOPSIDA,EX,5,100.0,EX
Deloneura immaculata,INSECTA,EX,5,100.0,EX
Necropsar rodericanus,AVES,EX,5,100.0,EX
Begonia eiromischa,MAGNOLIOPSIDA,EX,5,100.0,EX
Cyanoramphus ulietanus,AVES,EX,5,100.0,EX
Viola cryana,MAGNOLIOPSIDA,EX,5,100.0,EX
Salmo pallaryi,ACTINOPTERYGII,EX,5,100.0,EX
Necropsittacus rodricanus,AVES,EX,5,100.0,EX
Xenicus longipes,AVES,EX,5,100.0,EX
Hexolobodon phenax,MAMMALIA,EX,5,100.0,EX
Achatinella spaldingi,GASTROPODA,EX,5,100.0,EX
Leptoxis compacta,GASTROPODA,EX,5,100.0,EX
Mecodema punctellum,INSECTA,EX,5,100.0,EX
